lower	upper	frz	p
4	50	Z1	0.648401826
50	100	Z1	0.155251142
100	150	Z1	0.095890411
150	200	Z1	0.03652968
200	250	Z1	0.00913242
250	300	Z1	0.01369863
300	350	Z1	0.00913242
350	400	Z1	0.00456621
400	450	Z1	0.00456621
450	500	Z1	0.02283105
4	50	Z2	0.648401826
50	100	Z2	0.155251142
100	150	Z2	0.095890411
150	200	Z2	0.03652968
200	250	Z2	0.00913242
250	300	Z2	0.01369863
300	350	Z2	0.00913242
350	400	Z2	0.00456621
400	450	Z2	0.00456621
450	500	Z2	0.02283105
4	50	Z3	0.648401826
50	100	Z3	0.155251142
100	150	Z3	0.095890411
150	200	Z3	0.03652968
200	250	Z3	0.00913242
250	300	Z3	0.01369863
300	350	Z3	0.00913242
350	400	Z3	0.00456621
400	450	Z3	0.00456621
450	500	Z3	0.02283105
4	50	Z4	0.648401826
50	100	Z4	0.155251142
100	150	Z4	0.095890411
150	200	Z4	0.03652968
200	250	Z4	0.00913242
250	300	Z4	0.01369863
300	350	Z4	0.00913242
350	400	Z4	0.00456621
400	450	Z4	0.00456621
450	500	Z4	0.02283105
4	50	Z5	0.65879973
50	100	Z5	0.12744437
100	150	Z5	0.064059339
150	200	Z5	0.037086986
200	250	Z5	0.018880647
250	300	Z5	0.01753203
300	350	Z5	0.009440324
350	400	Z5	0.01146325
400	450	Z5	0.010788941
450	500	Z5	0.00606878
500	550	Z5	0.003371544
550	600	Z5	0.004045853
600	650	Z5	0.002022927
650	700	Z5	0.001348618
700	750	Z5	0.003371544
750	800	Z5	0.002697235
800	850	Z5	0.002022927
850	900	Z5	0.002697235
900	950	Z5	0.000674309
950	1000	Z5	0.002697235
1000	1050	Z5	0.000674309
1050	1100	Z5	0.002022927
1100	1150	Z5	0.001348618
1150	1200	Z5	0.001348618
1250	1300	Z5	0.001348618
1300	1350	Z5	0.002022927
1350	1400	Z5	0.001348618
1400	1450	Z5	0.000674309
1450	1500	Z5	0.002697235
4	50	Z6	0.65879973
50	100	Z6	0.12744437
100	150	Z6	0.064059339
150	200	Z6	0.037086986
200	250	Z6	0.018880647
250	300	Z6	0.01753203
300	350	Z6	0.009440324
350	400	Z6	0.01146325
400	450	Z6	0.010788941
450	500	Z6	0.00606878
500	550	Z6	0.003371544
550	600	Z6	0.004045853
600	650	Z6	0.002022927
650	700	Z6	0.001348618
700	750	Z6	0.003371544
750	800	Z6	0.002697235
800	850	Z6	0.002022927
850	900	Z6	0.002697235
900	950	Z6	0.000674309
950	1000	Z6	0.002697235
1000	1050	Z6	0.000674309
1050	1100	Z6	0.002022927
1100	1150	Z6	0.001348618
1150	1200	Z6	0.001348618
1250	1300	Z6	0.001348618
1300	1350	Z6	0.002022927
1350	1400	Z6	0.001348618
1400	1450	Z6	0.000674309
1450	1500	Z6	0.002697235
4	50	Z7	0.65879973
50	100	Z7	0.12744437
100	150	Z7	0.064059339
150	200	Z7	0.037086986
200	250	Z7	0.018880647
250	300	Z7	0.01753203
300	350	Z7	0.009440324
350	400	Z7	0.01146325
400	450	Z7	0.010788941
450	500	Z7	0.00606878
500	550	Z7	0.003371544
550	600	Z7	0.004045853
600	650	Z7	0.002022927
650	700	Z7	0.001348618
700	750	Z7	0.003371544
750	800	Z7	0.002697235
800	850	Z7	0.002022927
850	900	Z7	0.002697235
900	950	Z7	0.000674309
950	1000	Z7	0.002697235
1000	1050	Z7	0.000674309
1050	1100	Z7	0.002022927
1100	1150	Z7	0.001348618
1150	1200	Z7	0.001348618
1250	1300	Z7	0.001348618
1300	1350	Z7	0.002022927
1350	1400	Z7	0.001348618
1400	1450	Z7	0.000674309
1450	1500	Z7	0.002697235
4	50	Z8	0.65879973
50	100	Z8	0.12744437
100	150	Z8	0.064059339
150	200	Z8	0.037086986
200	250	Z8	0.018880647
250	300	Z8	0.01753203
300	350	Z8	0.009440324
350	400	Z8	0.01146325
400	450	Z8	0.010788941
450	500	Z8	0.00606878
500	550	Z8	0.003371544
550	600	Z8	0.004045853
600	650	Z8	0.002022927
650	700	Z8	0.001348618
700	750	Z8	0.003371544
750	800	Z8	0.002697235
800	850	Z8	0.002022927
850	900	Z8	0.002697235
900	950	Z8	0.000674309
950	1000	Z8	0.002697235
1000	1050	Z8	0.000674309
1050	1100	Z8	0.002022927
1100	1150	Z8	0.001348618
1150	1200	Z8	0.001348618
1250	1300	Z8	0.001348618
1300	1350	Z8	0.002022927
1350	1400	Z8	0.001348618
1400	1450	Z8	0.000674309
1450	1500	Z8	0.002697235
4	50	Z9	0.65879973
50	100	Z9	0.12744437
100	150	Z9	0.064059339
150	200	Z9	0.037086986
200	250	Z9	0.018880647
250	300	Z9	0.01753203
300	350	Z9	0.009440324
350	400	Z9	0.01146325
400	450	Z9	0.010788941
450	500	Z9	0.00606878
500	550	Z9	0.003371544
550	600	Z9	0.004045853
600	650	Z9	0.002022927
650	700	Z9	0.001348618
700	750	Z9	0.003371544
750	800	Z9	0.002697235
800	850	Z9	0.002022927
850	900	Z9	0.002697235
900	950	Z9	0.000674309
950	1000	Z9	0.002697235
1000	1050	Z9	0.000674309
1050	1100	Z9	0.002022927
1100	1150	Z9	0.001348618
1150	1200	Z9	0.001348618
1250	1300	Z9	0.001348618
1300	1350	Z9	0.002022927
1350	1400	Z9	0.001348618
1400	1450	Z9	0.000674309
1450	1500	Z9	0.002697235
4	50	Z10	0.65879973
50	100	Z10	0.12744437
100	150	Z10	0.064059339
150	200	Z10	0.037086986
200	250	Z10	0.018880647
250	300	Z10	0.01753203
300	350	Z10	0.009440324
350	400	Z10	0.01146325
400	450	Z10	0.010788941
450	500	Z10	0.00606878
500	550	Z10	0.003371544
550	600	Z10	0.004045853
600	650	Z10	0.002022927
650	700	Z10	0.001348618
700	750	Z10	0.003371544
750	800	Z10	0.002697235
800	850	Z10	0.002022927
850	900	Z10	0.002697235
900	950	Z10	0.000674309
950	1000	Z10	0.002697235
1000	1050	Z10	0.000674309
1050	1100	Z10	0.002022927
1100	1150	Z10	0.001348618
1150	1200	Z10	0.001348618
1250	1300	Z10	0.001348618
1300	1350	Z10	0.002022927
1350	1400	Z10	0.001348618
1400	1450	Z10	0.000674309
1450	1500	Z10	0.002697235
4	50	Z11	0.65879973
50	100	Z11	0.12744437
100	150	Z11	0.064059339
150	200	Z11	0.037086986
200	250	Z11	0.018880647
250	300	Z11	0.01753203
300	350	Z11	0.009440324
350	400	Z11	0.01146325
400	450	Z11	0.010788941
450	500	Z11	0.00606878
500	550	Z11	0.003371544
550	600	Z11	0.004045853
600	650	Z11	0.002022927
650	700	Z11	0.001348618
700	750	Z11	0.003371544
750	800	Z11	0.002697235
800	850	Z11	0.002022927
850	900	Z11	0.002697235
900	950	Z11	0.000674309
950	1000	Z11	0.002697235
1000	1050	Z11	0.000674309
1050	1100	Z11	0.002022927
1100	1150	Z11	0.001348618
1150	1200	Z11	0.001348618
1250	1300	Z11	0.001348618
1300	1350	Z11	0.002022927
1350	1400	Z11	0.001348618
1400	1450	Z11	0.000674309
1450	1500	Z11	0.002697235
4	50	Z12	0.65879973
50	100	Z12	0.12744437
100	150	Z12	0.064059339
150	200	Z12	0.037086986
200	250	Z12	0.018880647
250	300	Z12	0.01753203
300	350	Z12	0.009440324
350	400	Z12	0.01146325
400	450	Z12	0.010788941
450	500	Z12	0.00606878
500	550	Z12	0.003371544
550	600	Z12	0.004045853
600	650	Z12	0.002022927
650	700	Z12	0.001348618
700	750	Z12	0.003371544
750	800	Z12	0.002697235
800	850	Z12	0.002022927
850	900	Z12	0.002697235
900	950	Z12	0.000674309
950	1000	Z12	0.002697235
1000	1050	Z12	0.000674309
1050	1100	Z12	0.002022927
1100	1150	Z12	0.001348618
1150	1200	Z12	0.001348618
1250	1300	Z12	0.001348618
1300	1350	Z12	0.002022927
1350	1400	Z12	0.001348618
1400	1450	Z12	0.000674309
1450	1500	Z12	0.002697235
4	50	Z13	0.65879973
50	100	Z13	0.12744437
100	150	Z13	0.064059339
150	200	Z13	0.037086986
200	250	Z13	0.018880647
250	300	Z13	0.01753203
300	350	Z13	0.009440324
350	400	Z13	0.01146325
400	450	Z13	0.010788941
450	500	Z13	0.00606878
500	550	Z13	0.003371544
550	600	Z13	0.004045853
600	650	Z13	0.002022927
650	700	Z13	0.001348618
700	750	Z13	0.003371544
750	800	Z13	0.002697235
800	850	Z13	0.002022927
850	900	Z13	0.002697235
900	950	Z13	0.000674309
950	1000	Z13	0.002697235
1000	1050	Z13	0.000674309
1050	1100	Z13	0.002022927
1100	1150	Z13	0.001348618
1150	1200	Z13	0.001348618
1250	1300	Z13	0.001348618
1300	1350	Z13	0.002022927
1350	1400	Z13	0.001348618
1400	1450	Z13	0.000674309
1450	1500	Z13	0.002697235
