lower	upper	frz	p
4	50	Z1	0.331791908
50	100	Z1	0.264739884
100	150	Z1	0.141040462
150	200	Z1	0.079768786
200	250	Z1	0.041618497
250	300	Z1	0.040462428
300	350	Z1	0.025433526
350	400	Z1	0.027745665
400	450	Z1	0.026589595
450	500	Z1	0.01734104
4	50	Z2	0.331791908
50	100	Z2	0.264739884
100	150	Z2	0.141040462
150	200	Z2	0.079768786
200	250	Z2	0.041618497
250	300	Z2	0.040462428
300	350	Z2	0.025433526
350	400	Z2	0.027745665
400	450	Z2	0.026589595
450	500	Z2	0.01734104
4	50	Z3	0.331791908
50	100	Z3	0.264739884
100	150	Z3	0.141040462
150	200	Z3	0.079768786
200	250	Z3	0.041618497
250	300	Z3	0.040462428
300	350	Z3	0.025433526
350	400	Z3	0.027745665
400	450	Z3	0.026589595
450	500	Z3	0.01734104
4	50	Z4	0.331791908
50	100	Z4	0.264739884
100	150	Z4	0.141040462
150	200	Z4	0.079768786
200	250	Z4	0.041618497
250	300	Z4	0.040462428
300	350	Z4	0.025433526
350	400	Z4	0.027745665
400	450	Z4	0.026589595
450	500	Z4	0.01734104
25	50	Z5	0.324855491
50	100	Z5	0.257803468
100	150	Z5	0.134104046
150	200	Z5	0.07283237
200	250	Z5	0.034682081
250	300	Z5	0.033526012
300	350	Z5	0.01849711
350	400	Z5	0.020809249
400	450	Z5	0.019653179
450	500	Z5	0.010404624
500	550	Z5	0.008092486
550	600	Z5	0.006936416
600	650	Z5	0.003468208
650	700	Z5	0.002312139
700	750	Z5	0.005780347
750	800	Z5	0.004624277
800	850	Z5	0.003468208
850	900	Z5	0.005780347
900	950	Z5	0.001156069
950	1000	Z5	0.005780347
1000	1050	Z5	0.001156069
1050	1100	Z5	0.003468208
1150	1200	Z5	0.002312139
1200	1250	Z5	0.002312139
1250	1300	Z5	0.001156069
1300	1350	Z5	0.002312139
1400	1450	Z5	0.003468208
1500	1550	Z5	0.003468208
1800	1850	Z5	0.002312139
1950	2000	Z5	0.003468208
25	50	Z6	0.324855491
50	100	Z6	0.257803468
100	150	Z6	0.134104046
150	200	Z6	0.07283237
200	250	Z6	0.034682081
250	300	Z6	0.033526012
300	350	Z6	0.01849711
350	400	Z6	0.020809249
400	450	Z6	0.019653179
450	500	Z6	0.010404624
500	550	Z6	0.008092486
550	600	Z6	0.006936416
600	650	Z6	0.003468208
650	700	Z6	0.002312139
700	750	Z6	0.005780347
750	800	Z6	0.004624277
800	850	Z6	0.003468208
850	900	Z6	0.005780347
900	950	Z6	0.001156069
950	1000	Z6	0.005780347
1000	1050	Z6	0.001156069
1050	1100	Z6	0.003468208
1150	1200	Z6	0.002312139
1200	1250	Z6	0.002312139
1250	1300	Z6	0.001156069
1300	1350	Z6	0.002312139
1400	1450	Z6	0.003468208
1500	1550	Z6	0.003468208
1800	1850	Z6	0.002312139
1950	2000	Z6	0.003468208
25	50	Z7	0.324855491
50	100	Z7	0.257803468
100	150	Z7	0.134104046
150	200	Z7	0.07283237
200	250	Z7	0.034682081
250	300	Z7	0.033526012
300	350	Z7	0.01849711
350	400	Z7	0.020809249
400	450	Z7	0.019653179
450	500	Z7	0.010404624
500	550	Z7	0.008092486
550	600	Z7	0.006936416
600	650	Z7	0.003468208
650	700	Z7	0.002312139
700	750	Z7	0.005780347
750	800	Z7	0.004624277
800	850	Z7	0.003468208
850	900	Z7	0.005780347
900	950	Z7	0.001156069
950	1000	Z7	0.005780347
1000	1050	Z7	0.001156069
1050	1100	Z7	0.003468208
1150	1200	Z7	0.002312139
1200	1250	Z7	0.002312139
1250	1300	Z7	0.001156069
1300	1350	Z7	0.002312139
1400	1450	Z7	0.003468208
1500	1550	Z7	0.003468208
1800	1850	Z7	0.002312139
1950	2000	Z7	0.003468208
25	50	Z8	0.324855491
50	100	Z8	0.257803468
100	150	Z8	0.134104046
150	200	Z8	0.07283237
200	250	Z8	0.034682081
250	300	Z8	0.033526012
300	350	Z8	0.01849711
350	400	Z8	0.020809249
400	450	Z8	0.019653179
450	500	Z8	0.010404624
500	550	Z8	0.008092486
550	600	Z8	0.006936416
600	650	Z8	0.003468208
650	700	Z8	0.002312139
700	750	Z8	0.005780347
750	800	Z8	0.004624277
800	850	Z8	0.003468208
850	900	Z8	0.005780347
900	950	Z8	0.001156069
950	1000	Z8	0.005780347
1000	1050	Z8	0.001156069
1050	1100	Z8	0.003468208
1150	1200	Z8	0.002312139
1200	1250	Z8	0.002312139
1250	1300	Z8	0.001156069
1300	1350	Z8	0.002312139
1400	1450	Z8	0.003468208
1500	1550	Z8	0.003468208
1800	1850	Z8	0.002312139
1950	2000	Z8	0.003468208
25	50	Z9	0.324855491
50	100	Z9	0.257803468
100	150	Z9	0.134104046
150	200	Z9	0.07283237
200	250	Z9	0.034682081
250	300	Z9	0.033526012
300	350	Z9	0.01849711
350	400	Z9	0.020809249
400	450	Z9	0.019653179
450	500	Z9	0.010404624
500	550	Z9	0.008092486
550	600	Z9	0.006936416
600	650	Z9	0.003468208
650	700	Z9	0.002312139
700	750	Z9	0.005780347
750	800	Z9	0.004624277
800	850	Z9	0.003468208
850	900	Z9	0.005780347
900	950	Z9	0.001156069
950	1000	Z9	0.005780347
1000	1050	Z9	0.001156069
1050	1100	Z9	0.003468208
1150	1200	Z9	0.002312139
1200	1250	Z9	0.002312139
1250	1300	Z9	0.001156069
1300	1350	Z9	0.002312139
1400	1450	Z9	0.003468208
1500	1550	Z9	0.003468208
1800	1850	Z9	0.002312139
1950	2000	Z9	0.003468208
25	50	Z10	0.324855491
50	100	Z10	0.257803468
100	150	Z10	0.134104046
150	200	Z10	0.07283237
200	250	Z10	0.034682081
250	300	Z10	0.033526012
300	350	Z10	0.01849711
350	400	Z10	0.020809249
400	450	Z10	0.019653179
450	500	Z10	0.010404624
500	550	Z10	0.008092486
550	600	Z10	0.006936416
600	650	Z10	0.003468208
650	700	Z10	0.002312139
700	750	Z10	0.005780347
750	800	Z10	0.004624277
800	850	Z10	0.003468208
850	900	Z10	0.005780347
900	950	Z10	0.001156069
950	1000	Z10	0.005780347
1000	1050	Z10	0.001156069
1050	1100	Z10	0.003468208
1150	1200	Z10	0.002312139
1200	1250	Z10	0.002312139
1250	1300	Z10	0.001156069
1300	1350	Z10	0.002312139
1400	1450	Z10	0.003468208
1500	1550	Z10	0.003468208
1800	1850	Z10	0.002312139
1950	2000	Z10	0.003468208
25	50	Z11	0.324855491
50	100	Z11	0.257803468
100	150	Z11	0.134104046
150	200	Z11	0.07283237
200	250	Z11	0.034682081
250	300	Z11	0.033526012
300	350	Z11	0.01849711
350	400	Z11	0.020809249
400	450	Z11	0.019653179
450	500	Z11	0.010404624
500	550	Z11	0.008092486
550	600	Z11	0.006936416
600	650	Z11	0.003468208
650	700	Z11	0.002312139
700	750	Z11	0.005780347
750	800	Z11	0.004624277
800	850	Z11	0.003468208
850	900	Z11	0.005780347
900	950	Z11	0.001156069
950	1000	Z11	0.005780347
1000	1050	Z11	0.001156069
1050	1100	Z11	0.003468208
1150	1200	Z11	0.002312139
1200	1250	Z11	0.002312139
1250	1300	Z11	0.001156069
1300	1350	Z11	0.002312139
1400	1450	Z11	0.003468208
1500	1550	Z11	0.003468208
1800	1850	Z11	0.002312139
1950	2000	Z11	0.003468208
25	50	Z12	0.324855491
50	100	Z12	0.257803468
100	150	Z12	0.134104046
150	200	Z12	0.07283237
200	250	Z12	0.034682081
250	300	Z12	0.033526012
300	350	Z12	0.01849711
350	400	Z12	0.020809249
400	450	Z12	0.019653179
450	500	Z12	0.010404624
500	550	Z12	0.008092486
550	600	Z12	0.006936416
600	650	Z12	0.003468208
650	700	Z12	0.002312139
700	750	Z12	0.005780347
750	800	Z12	0.004624277
800	850	Z12	0.003468208
850	900	Z12	0.005780347
900	950	Z12	0.001156069
950	1000	Z12	0.005780347
1000	1050	Z12	0.001156069
1050	1100	Z12	0.003468208
1150	1200	Z12	0.002312139
1200	1250	Z12	0.002312139
1250	1300	Z12	0.001156069
1300	1350	Z12	0.002312139
1400	1450	Z12	0.003468208
1500	1550	Z12	0.003468208
1800	1850	Z12	0.002312139
1950	2000	Z12	0.003468208
25	50	Z13	0.324855491
50	100	Z13	0.257803468
100	150	Z13	0.134104046
150	200	Z13	0.07283237
200	250	Z13	0.034682081
250	300	Z13	0.033526012
300	350	Z13	0.01849711
350	400	Z13	0.020809249
400	450	Z13	0.019653179
450	500	Z13	0.010404624
500	550	Z13	0.008092486
550	600	Z13	0.006936416
600	650	Z13	0.003468208
650	700	Z13	0.002312139
700	750	Z13	0.005780347
750	800	Z13	0.004624277
800	850	Z13	0.003468208
850	900	Z13	0.005780347
900	950	Z13	0.001156069
950	1000	Z13	0.005780347
1000	1050	Z13	0.001156069
1050	1100	Z13	0.003468208
1150	1200	Z13	0.002312139
1200	1250	Z13	0.002312139
1250	1300	Z13	0.001156069
1300	1350	Z13	0.002312139
1400	1450	Z13	0.003468208
1500	1550	Z13	0.003468208
1800	1850	Z13	0.002312139
1950	2000	Z13	0.003468208
